CustomerID,Recency,Frequency,Monetary,AverageOrderValue,ChurnProbability,RiskTier
12821,214,1,92.72,92.72,1.0,High Risk
18250,310,1,349.27,349.27,1.0,High Risk
12852,295,1,311.55,311.55,1.0,High Risk
12829,337,2,293.0,146.5,1.0,High Risk
12834,283,1,312.38,312.38,1.0,High Risk
13682,187,1,59.5,59.5,1.0,High Risk
13684,286,1,65.13,65.13,1.0,High Risk
13512,261,1,251.21,251.21,1.0,High Risk
13513,127,1,205.1,205.1,1.0,High Risk
13699,155,1,308.58,308.58,1.0,High Risk
13703,318,1,99.5,99.5,1.0,High Risk
13706,303,1,330.79,330.79,1.0,High Risk
13708,271,1,285.33,285.33,1.0,High Risk
13712,247,1,228.84,228.84,1.0,High Risk
13715,281,5,1077.39,215.48,1.0,High Risk
13718,246,2,306.55,153.28,1.0,High Risk
13737,200,1,339.6,339.6,1.0,High Risk
13740,241,1,350.75,350.75,1.0,High Risk
13747,374,1,79.6,79.6,1.0,High Risk
13762,219,1,306.72,306.72,1.0,High Risk
12897,205,2,216.5,108.25,1.0,High Risk
18004,362,1,157.92,157.92,1.0,High Risk
18009,235,1,247.39,247.39,1.0,High Risk
18011,373,1,102.79,102.79,1.0,High Risk
18062,173,3,720.52,240.17,1.0,High Risk
18068,289,1,101.7,101.7,1.0,High Risk
18072,186,1,247.44,247.44,1.0,High Risk
18086,274,1,101.34,101.34,1.0,High Risk
18095,312,2,580.05,290.02,1.0,High Risk
18099,127,1,168.31,168.31,1.0,High Risk
18108,254,1,271.0,271.0,1.0,High Risk
18114,290,1,220.1,220.1,1.0,High Risk
12908,176,2,750.0,375.0,1.0,High Risk
17891,162,1,203.86,203.86,1.0,High Risk
17893,225,1,107.21,107.21,1.0,High Risk
17899,159,1,154.55,154.55,1.0,High Risk
17908,374,1,232.03,232.03,1.0,High Risk
17923,282,1,207.5,207.5,1.0,High Risk
17925,373,1,244.08,244.08,1.0,High Risk
17941,131,1,304.56,304.56,1.0,High Risk
17948,147,1,358.56,358.56,1.0,High Risk
17968,374,1,265.1,265.1,1.0,High Risk
17976,372,1,321.79,321.79,1.0,High Risk
17978,365,1,300.92,300.92,1.0,High Risk
17984,145,1,152.68,152.68,1.0,High Risk
17752,359,1,80.64,80.64,1.0,High Risk
17775,255,1,56.4,56.4,1.0,High Risk
17781,159,2,188.02,94.01,1.0,High Risk
17789,281,1,225.9,225.9,1.0,High Risk
17843,303,1,205.48,205.48,1.0,High Risk
17854,185,2,311.26,155.63,1.0,High Risk
17855,373,1,208.97,208.97,1.0,High Risk
17859,305,1,141.92,141.92,1.0,High Risk
17860,369,1,226.45,226.45,1.0,High Risk
17862,324,1,330.9,330.9,1.0,High Risk
17866,143,1,329.65,329.65,1.0,High Risk
17871,205,1,155.9,155.9,1.0,High Risk
17877,170,1,237.61,237.61,1.0,High Risk
17879,174,1,178.52,178.52,1.0,High Risk
17889,212,2,201.37,100.68,1.0,High Risk
17578,218,1,143.46,143.46,1.0,High Risk
17619,312,1,214.37,214.37,1.0,High Risk
17630,170,2,503.6,251.8,1.0,High Risk
17643,373,1,101.55,101.55,1.0,High Risk
17670,228,1,205.7,205.7,1.0,High Risk
17693,137,1,200.47,200.47,1.0,High Risk
17694,142,1,283.12,283.12,1.0,High Risk
17697,236,1,338.95,338.95,1.0,High Risk
17698,261,1,154.95,154.95,1.0,High Risk
17714,321,1,153.0,153.0,1.0,High Risk
17715,201,1,326.4,326.4,1.0,High Risk
17732,373,1,303.97,303.97,1.0,High Risk
17367,238,1,167.55,167.55,1.0,High Risk
17374,219,2,495.77,247.88,1.0,High Risk
17375,199,3,400.1,133.37,1.0,High Risk
17394,219,1,203.87,203.87,1.0,High Risk
17456,365,1,249.86,249.86,1.0,High Risk
17496,359,1,271.05,271.05,1.0,High Risk
17514,128,1,208.65,208.65,1.0,High Risk
17517,309,1,153.94,153.94,1.0,High Risk
17535,280,1,164.4,164.4,1.0,High Risk
17548,234,1,103.3,103.3,1.0,High Risk
17556,206,1,157.9,157.9,1.0,High Risk
17569,332,1,344.14,344.14,1.0,High Risk
13494,312,1,316.26,316.26,1.0,High Risk
13506,316,2,458.52,229.26,1.0,High Risk
13786,367,1,230.4,230.4,1.0,High Risk
13799,117,2,688.86,344.43,1.0,High Risk
13803,255,1,277.07,277.07,1.0,High Risk
13837,212,2,266.59,133.3,1.0,High Risk
13841,253,1,85.0,85.0,1.0,High Risk
13859,326,1,201.16,201.16,1.0,High Risk
13863,248,1,305.78,305.78,1.0,High Risk
13887,204,1,349.55,349.55,1.0,High Risk
13888,120,2,595.67,297.83,1.0,High Risk
13898,326,1,155.93,155.93,1.0,High Risk
17194,274,2,262.62,131.31,1.0,High Risk
17212,253,1,226.85,226.85,1.0,High Risk
13005,174,2,513.7,256.85,1.0,High Risk
13008,323,1,229.47,229.47,1.0,High Risk
17248,120,1,318.65,318.65,1.0,High Risk
17251,363,1,269.83,269.83,1.0,High Risk
17263,208,1,63.44,63.44,1.0,High Risk
17278,241,1,246.04,246.04,1.0,High Risk
17298,101,2,498.42,249.21,1.0,High Risk
17303,361,1,250.04,250.04,1.0,High Risk
17325,280,1,96.8,96.8,1.0,High Risk
17349,179,1,98.25,98.25,1.0,High Risk
17051,194,1,240.89,240.89,1.0,High Risk
17060,266,1,234.24,234.24,1.0,High Risk
17070,114,1,304.24,304.24,1.0,High Risk
17094,322,1,302.0,302.0,1.0,High Risk
17105,159,2,665.78,332.89,1.0,High Risk
17110,165,1,163.3,163.3,1.0,High Risk
17118,318,1,157.02,157.02,1.0,High Risk
17120,233,1,307.46,307.46,1.0,High Risk
17123,162,1,345.3,345.3,1.0,High Risk
17128,335,1,157.09,157.09,1.0,High Risk
17165,284,1,158.68,158.68,1.0,High Risk
17171,289,1,224.91,224.91,1.0,High Risk
17174,218,1,59.9,59.9,1.0,High Risk
17176,202,1,306.13,306.13,1.0,High Risk
17179,178,3,711.79,237.26,1.0,High Risk
17187,227,1,203.95,203.95,1.0,High Risk
13060,254,1,307.53,307.53,1.0,High Risk
13062,191,1,346.98,346.98,1.0,High Risk
13065,373,1,205.86,205.86,1.0,High Risk
16850,334,1,332.41,332.41,1.0,High Risk
16859,145,2,747.81,373.9,1.0,High Risk
16926,371,1,230.25,230.25,1.0,High Risk
16948,139,3,435.02,145.01,1.0,High Risk
16961,116,1,234.17,234.17,1.0,High Risk
16965,227,1,201.19,201.19,1.0,High Risk
16967,189,1,319.02,319.02,1.0,High Risk
16976,267,1,251.52,251.52,1.0,High Risk
16990,219,1,179.0,179.0,1.0,High Risk
17029,111,2,716.0,358.0,1.0,High Risk
17035,246,2,433.53,216.76,1.0,High Risk
13070,192,1,228.8,228.8,1.0,High Risk
13080,179,1,58.08,58.08,1.0,High Risk
16727,364,1,256.32,256.32,1.0,High Risk
16739,177,1,323.0,323.0,1.0,High Risk
16752,373,1,207.5,207.5,1.0,High Risk
16756,215,1,239.4,239.4,1.0,High Risk
16757,319,1,106.83,106.83,1.0,High Risk
16769,260,1,361.54,361.54,1.0,High Risk
16781,372,1,311.25,311.25,1.0,High Risk
16788,123,2,594.39,297.2,1.0,High Risk
16810,192,1,309.54,309.54,1.0,High Risk
16823,227,1,358.38,358.38,1.0,High Risk
16838,197,2,588.85,294.42,1.0,High Risk
13045,99,1,305.28,305.28,1.0,High Risk
