CustomerID,Recency,Frequency,Monetary,FirstPurchaseDate,LastPurchaseDate,AverageOrderValue,TenureDays,Churned
12346,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,0,1
12747,2,11,4196.01,2010-12-05 15:38:00,2011-12-07 14:34:00,381.46,366,0
12748,1,210,33053.19,2010-12-01 12:48:00,2011-12-09 12:20:00,157.4,372,0
12749,4,5,4090.88,2011-05-10 15:25:00,2011-12-06 09:56:00,818.18,209,0
12820,3,4,942.34,2011-01-17 12:34:00,2011-12-06 15:12:00,235.58,323,0
12821,214,1,92.72,2011-05-09 15:51:00,2011-05-09 15:51:00,92.72,0,1
12822,71,2,948.88,2011-09-13 13:46:00,2011-09-30 10:04:00,474.44,16,0
12823,75,5,1759.5,2011-02-16 12:15:00,2011-09-26 07:35:00,351.9,221,0
12824,60,1,397.12,2011-10-11 12:49:00,2011-10-11 12:49:00,397.12,0,0
12826,3,7,1474.72,2010-12-09 15:21:00,2011-12-07 10:25:00,210.67,362,0
12827,6,3,430.15,2011-10-26 15:44:00,2011-12-04 12:17:00,143.38,38,0
12828,3,6,1018.71,2011-08-01 16:16:00,2011-12-07 08:45:00,169.78,127,0
12829,337,2,293.0,2010-12-14 14:54:00,2011-01-07 11:13:00,146.5,23,1
12830,38,6,6814.64,2011-06-21 10:53:00,2011-11-02 11:54:00,1135.77,134,0
12831,262,1,215.05,2011-03-22 13:02:00,2011-03-22 13:02:00,215.05,0,1
12832,32,2,383.03000000000003,2011-09-02 13:48:00,2011-11-07 13:30:00,191.52,65,0
12833,145,1,417.38,2011-07-17 13:46:00,2011-07-17 13:46:00,417.38,0,1
12834,283,1,312.38,2011-03-02 09:49:00,2011-03-02 09:49:00,312.38,0,1
12836,59,4,2610.36,2011-02-01 11:19:00,2011-10-11 15:10:00,652.59,252,0
12837,173,1,134.1,2011-06-19 16:07:00,2011-06-19 16:07:00,134.1,0,1
12838,34,2,671.95,2010-12-01 11:57:00,2011-11-06 12:20:00,335.98,340,0
12839,3,14,5591.42,2010-12-07 15:48:00,2011-12-07 12:33:00,399.39,364,0
12840,144,4,2726.77,2011-04-27 12:21:00,2011-07-19 09:29:00,681.69,82,1
12841,5,25,3991.58,2010-12-03 10:43:00,2011-12-05 11:13:00,159.66,367,0
12842,70,2,1118.99,2011-02-04 12:36:00,2011-09-30 15:33:00,559.5,238,0
12843,66,8,1702.26,2011-03-20 14:38:00,2011-10-05 12:09:00,212.78,198,0
12844,29,2,325.96000000000004,2011-08-01 13:11:00,2011-11-10 13:31:00,162.98,101,0
12845,267,4,354.09000000000003,2011-02-22 14:10:00,2011-03-17 13:34:00,88.52,22,1
12847,22,1,843.64,2011-11-17 13:16:00,2011-11-17 13:16:00,843.64,0,0
12849,31,2,1010.29,2011-03-16 12:26:00,2011-11-08 13:41:00,505.14,237,0
12851,97,1,131.81,2011-09-04 12:41:00,2011-09-04 12:41:00,131.81,0,1
12852,295,1,311.55,2011-02-18 08:47:00,2011-02-18 08:47:00,311.55,0,1
12853,135,6,1957.1000000000001,2011-01-28 10:28:00,2011-07-28 11:29:00,326.18,181,1
12854,79,3,1316.25,2011-01-25 13:35:00,2011-09-22 12:15:00,438.75,239,0
12855,373,1,38.1,2010-12-02 09:37:00,2010-12-02 09:37:00,38.1,0,1
12856,8,6,2170.78,2011-10-07 12:38:00,2011-12-02 10:52:00,361.8,55,0
12857,211,2,1106.4,2011-02-10 12:32:00,2011-05-13 10:20:00,553.2,91,1
12863,52,1,521.2,2011-10-18 14:15:00,2011-10-18 14:15:00,521.2,0,0
12864,138,1,147.12,2011-07-24 13:03:00,2011-07-24 13:03:00,147.12,0,1
12867,26,7,4009.34,2010-12-14 16:39:00,2011-11-13 15:30:00,572.76,333,0
12868,186,6,1607.0600000000002,2010-12-01 12:50:00,2011-06-07 10:42:00,267.84,187,1
12871,84,2,380.64,2011-05-16 13:32:00,2011-09-16 15:07:00,190.32,123,0
12872,327,2,599.97,2010-12-09 14:44:00,2011-01-17 10:52:00,299.98,38,1
12873,282,1,374.0,2011-03-02 14:58:00,2011-03-02 14:58:00,374.0,0,1
12875,143,2,343.2300000000001,2010-12-12 12:03:00,2011-07-19 15:30:00,171.62,219,1
12877,4,12,1535.77,2010-12-16 12:23:00,2011-12-06 10:30:00,127.98,354,0
12878,236,2,854.99,2011-03-18 14:02:00,2011-04-17 13:07:00,427.5,29,1
12879,45,3,573.22,2011-09-09 12:11:00,2011-10-26 12:24:00,191.07,47,0
12881,276,1,298.0,2011-03-09 11:44:00,2011-03-09 11:44:00,298.0,0,1
12882,9,2,1463.04,2011-11-06 11:22:00,2011-11-30 16:18:00,731.52,24,0
12883,25,4,703.47,2011-09-11 15:18:00,2011-11-15 09:32:00,175.87,64,0
12884,88,1,309.05,2011-09-12 13:10:00,2011-09-12 13:10:00,309.05,0,0
12885,63,3,1175.22,2011-08-08 11:45:00,2011-10-07 13:40:00,391.74,60,0
12886,68,2,1378.4,2011-05-04 11:21:00,2011-10-03 10:09:00,689.2,151,0
12888,214,2,354.12,2011-03-29 14:31:00,2011-05-09 16:02:00,177.06,41,1
12890,24,1,376.71999999999997,2011-11-15 17:26:00,2011-11-15 17:26:00,376.72,0,0
12891,186,3,331.0,2011-02-20 11:28:00,2011-06-07 12:31:00,110.33,107,1
12893,31,1,176.55,2011-11-09 12:34:00,2011-11-09 12:34:00,176.55,0,0
12895,42,2,372.8,2011-09-14 08:35:00,2011-10-28 13:51:00,186.4,44,0
12897,205,2,216.5,2011-02-11 11:40:00,2011-05-19 12:13:00,108.25,97,1
12901,9,28,17654.54,2011-03-14 10:41:00,2011-12-01 10:07:00,630.52,261,0
12902,265,1,138.68,2011-03-20 12:06:00,2011-03-20 12:06:00,138.68,0,1
12904,18,2,496.06,2011-06-20 13:18:00,2011-11-21 14:34:00,248.03,154,0
12906,12,5,2919.81,2011-09-22 15:03:00,2011-11-28 09:55:00,583.96,66,0
12908,176,2,750.0,2011-01-31 12:37:00,2011-06-16 15:39:00,375.0,136,1
