CustomerID,Recency,Frequency,Monetary,AverageOrderValue,LTV_12Month,ChurnProbability,RiskTier
16446,1,2,168472.5,84236.25,294674.91,0.0224219426459379,Medium Risk
18102,1,60,259657.3,4327.62,258947.75,0.0,Low Risk
14096,4,17,65164.79,3833.22,238072.36,0.0290984999195913,Medium Risk
17450,8,46,194390.79,4225.89,197639.81,0.0,Low Risk
16000,3,3,12393.7,4131.23,144846.4,0.0260743209346511,Medium Risk
18139,18,6,8438.34,1406.39,98526.3,0.0269976505596824,Medium Risk
17511,3,31,91062.38,2937.5,89831.93,0.0,Low Risk
16029,39,63,80850.84,1283.35,87993.53,0.0011115245587922,Medium Risk
17509,58,8,6083.64,760.46,71028.83,0.0270578416310077,Medium Risk
16684,4,28,66653.56,2380.48,68919.28,0.0,Low Risk
13694,4,50,65039.62,1300.79,64334.46,0.0,Low Risk
15311,1,91,60632.75,666.29,59331.96,0.0,Low Risk
14088,10,13,50491.81,3883.99,59069.01,0.0,Low Risk
13089,3,97,58762.08,605.79,58601.08,0.0,Low Risk
17949,1,45,58510.48,1300.23,57719.67,0.0,Low Risk
15769,7,26,56252.72,2163.57,56562.75,0.0,Low Risk
15061,4,48,54534.14,1136.13,54089.67,0.0,Low Risk
14298,8,44,51527.3,1171.08,53252.39,0.0033338647959183,Medium Risk
18251,87,1,4314.72,4314.72,49955.08,0.0351810421789983,Medium Risk
12931,22,15,42055.96,2803.73,45685.78,0.0,Low Risk
15195,3,1,3861.0,3861.0,45107.46,0.0264296968606889,Medium Risk
17203,36,6,3560.08,593.35,42459.39,0.0061283086842293,Medium Risk
17841,2,124,40519.84,326.77,39864.18,0.0,Low Risk
16984,88,2,4459.52,2229.76,38162.04,0.0387543139091631,Medium Risk
13868,7,2,3192.54,1596.27,36988.63,0.0159873365190788,Medium Risk
16013,4,47,37130.6,790.01,36928.12,0.0,Low Risk
13798,1,57,37153.85,651.82,36651.66,0.0,Low Risk
16422,17,51,34684.4,680.09,36068.02,0.0,Low Risk
17389,1,34,31833.68,936.28,35209.8,0.0,Low Risk
15838,11,19,33643.08,1770.69,34493.64,0.0,Low Risk
13098,1,28,28882.44,1031.52,33361.18,0.0,Low Risk
12748,1,210,33053.19,157.4,32432.02,0.0,Low Risk
16333,8,22,26626.8,1210.31,32181.42,0.0,Low Risk
17084,35,2,2747.99,1374.0,32165.89,0.0245665153285378,Medium Risk
13422,64,1,2626.3,2626.3,30699.51,0.0258947362089417,Medium Risk
14680,25,16,28754.11,1797.13,30333.06,0.0,Low Risk
15993,9,7,2777.67,396.81,28884.35,0.0028577285772857,Medium Risk
13081,12,11,28337.38,2576.13,28811.04,0.0,Low Risk
15113,10,3,3509.43,1169.81,28687.21,0.0146022976718488,Medium Risk
14547,4,8,3974.75,496.84,28317.94,0.02403962697448,Medium Risk
12346,326,1,77183.6,77183.6,28065.18,0.9696986844198922,High Risk
13408,2,62,28117.04,453.5,27662.28,0.0,Low Risk
17313,31,1,2328.84,2328.84,27264.02,0.0244061599290385,Medium Risk
